Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2005-0728-CAN,2005,728,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Black Diamond, High River, Otokoks, Turner Valley towns (Division No. 6 district, Alberta province), Pincher Creek city (Division No. 3 district, Alberta province), Lethbridge city (Division No. 2 district, Alberta province), Siksika Reserve, Drumheller cities (Division No. 5 district, Alberta province), Red Deer city (Division No. 8 district, Alberta province)",Heavy rains,,,,,,,86680.0,Km2,,,,"Elbow, High, Bow, Highwood, Sheep, Oldman, Willow Creek, Red Deer, Fish Creek, Priddis Creek",2005,6.0,7.0,2005,7.0,1.0,4.0,,5000.0,,5000.0,,,186000.0,246497.0,357000.0,473116.0,75.45719958,2,,12521;12522;12524;12525;12527,"Division No. 2, Division No. 3, Division No. 5, Division No. 6, Division No. 8 (Adm2)."
2005-0764-CAN,2005,764,,Technological,Technological,Miscellaneous accident,Other,,Food poisoning,Canada,CAN,Northern America,Americas,Ontario,,,,,No,No,,,,,,,,2005,11.0,30.0,2005,12.0,1.0,,506.0,,,506.0,,,,,,,75.45719958,,,,
2006-0224-CAN,2006,224,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Fort Albany city (Cochrane district, Ontario province)",Snowmelt,Broken Dam/Burst bank,,,,,,7030.0,Km2,52.53,-82.09,,,2006,4.0,22.0,2006,5.0,31.0,,,2000.0,,2000.0,,,,,,,77.89139999,2,,12645,Cochrane (Adm2).
2006-0261-CAN,2006,261,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Aklavik city (Region 1 district, Northwest Territories province)",Snowmelt,,,,,,,3210.0,Km2,67.93,-99.99,,Mackenzie,2006,5.0,26.0,2006,6.0,2.0,,,300.0,,300.0,,,,,,,77.89139999,2,,190730,Region 1 (Adm2).
2008-0264-CAN,2008,264,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"James Bay area (Cochrane, Kenora districts, North Ontario province)",,Snow/ice,,,,,,3180.0,Km2,52.15,-81.96,,Albany river,2008,4.0,26.0,2008,5.0,1.0,,,2000.0,,2000.0,,,,,,,83.18902296,2,,12645;12660,"Cochrane, Kenora (Adm2)."
2011-0131-CAN,2011,131,,Natural,Hydrological,Flood,Riverine flood,,,Canada,CAN,Northern America,Americas,"Manitoba, Saskatchewan, Quebec, Alberta provinces",,,,,,Yes,,,Km2,,,,"Rouge, Roseau rivers",2011,4.0,4.0,2011,5.0,31.0,5.0,,2000.0,,2000.0,,,157000.0,180642.0,800000.0,920466.0,86.91246502,1,825;827;835;836,,"Alberta, Manitoba, Quebec / Québec, Saskatchewan (Adm1)."
2016-0172-CAN,2016,172,,Natural,Climatological,Wildfire,Forest fire,,Fort McMurray wildfires,Canada,CAN,Northern America,Americas,"Fort McMurray city (Wood Buffalo area, Division No. 16 district, Alberta province)",,Explosion,,Yes,,,,6000.0,Km2,,,,,2016,5.0,1.0,2016,7.0,4.0,,,88000.0,,88000.0,,,2900000.0,3127208.0,4000000.0,4313390.0,92.73447917,2,,12535,Division No. 16 (Adm2).
2017-0271-CAN,2017,271,,Natural,Climatological,Wildfire,,,"Gustafsen, Wildwood, Elephant Hill Fires",Canada,CAN,Northern America,Americas,"Cache Creek , Ashcroft, Boston flats (Thompson Nicola), 100 Mile House , Williams Lake (Cariboo) (British Columbia)",Weather,Heat wave,,,Yes,Yes,,500.0,Km2,,,,,2017,7.0,7.0,2017,9.0,15.0,,,43441.0,,43441.0,78000.0,82357.0,,,,,94.70984073,2,,12542;12566,"Cariboo, Thompson-Nicola (Adm2)."
2018-0299-CAN,2018,299,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Colombie-Britannique,,Pollution,,,,Yes,,,Km2,,,,,2018,7.0,,2018,8.0,,,,3000.0,,3000.0,,,,,,,97.02312922,1,826,,British Columbia / Colombie-Britannique (Adm1).
2018-0195-CAN,2018,195,,Natural,Meteorological,Extreme temperature,Heat wave,,,Canada,CAN,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",,,,,,,,37.0,°C,,,,,2018,6.0,29.0,2018,7.0,5.0,70.0,,,,,,,,,,,97.02312922,2,,12698;12708;12709;12711;12712;12713;12714;12717;12718;12719;12720;12723;12724;12727;12731;12735;12737;12739;12743;12745;12747;12750;12755;12758;12759;12760;12764;12767;12769;12773;12777;12778;12788,"Arthabaska, Charlevoix, Charlevoix-Est, D'Autray, Drummond, Francheville, Gatineau, Joliette, Kamouraska, L'??le-d'Orl??ans, L'Assomption, La C??te-de-Beaupr??, La Jacques-Cartier, La Tuque, La Vall??e-de-la-Gatineau, Lac-Saint-Jean-Est, Le Haut-Richelieu, Le Saguenay-et-son-Fjord, Les Collines-de-l'Outaouais, Les Laurentides, Les Maskoutains, Les Moulins, M??kinac, Maskinong??, Matawinie, Montcalm, Montreal, Papineau, Pontiac, Qu??bec, Shawinigan, Sherbrooke, T??miscamingue (Adm2)."
